Product;Status;In stock;Inventory;Tags;Product categories;Sales channels;Price from (USD);Deposit (USD);Tax percentage;Created
City Bike;Public;6;BIKE-CITY;For rent;Bikes;Online, Admin, Check-in;12.00;50.00;;12.03.2024
Mountain Bike;Public;4;BIKE-MTB;For rent;Bikes;Online, Admin, Check-in;20.00;80.00;;12.03.2024
Kids Bike;Hidden;0;BIKE-KID;For rent;Bikes;Online, Admin, Check-in;8.00;25.00;;02.04.2024
4-Person Tent;Public;5;TENT-4;For rent;Camping;Online, Admin, Check-in;25.00;60.00;;18.04.2024
Sleeping Bag;Public;12;SLEEP-BAG;For rent;Camping;Online, Admin, Check-in;6.00;0.00;;18.04.2024
Camp Stove;Public;5;STOVE-1;For rent;Camping;Online, Admin, Check-in;9.00;20.00;;18.04.2024
Single Kayak;Public;3;KAYAK-1;For rent;Water Sports;Online, Admin, Check-in;30.00;100.00;;01.06.2024
Paddle Board;Public;2;SUP-1;For rent;Water Sports;Online, Admin, Check-in;35.00;100.00;;01.06.2024
Mirrorless Camera Kit;Public;2;CAM-KIT;For rent;Photography;Online, Admin, Check-in;60.00;300.00;;20.07.2024
Carbon Tripod;Public;3;TRIPOD-CF;For rent;Photography;Online, Admin, Check-in;10.00;40.00;;20.07.2024
Delivery within 10 km;Public;0;DELIVERY;Service;Delivery;Online, Admin, Check-in;15.00;0.00;;05.08.2024
Late Return Fee;Hidden;0;LATE-FEE;Service;Fees & Additional Charges;Online, Admin, Check-in;10.00;0.00;;05.08.2024
